time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,place,horizontalError,depthError,magError,magNst
2025-03-19T23:58:17.619Z,-26.1365,70.9327,10,4.5,mb,15,172,52.015,0.31,Indian Ocean Triple Junction,19.55,1.938,0.171,10
2025-03-19T23:56:58.611Z,-26.1477,70.8109,10,4.4,mb,19,151,50.08,0.61,Indian Ocean Triple Junction,12.86,1.928,0.155,12
2025-03-19T23:38:33.049Z,-19.5417,-175.1973,137.109,4.7,mb,45,94,4.998,0.81,"93 km WNW of Pangai, Tonga",11.22,6.622,0.089,38
2025-03-19T22:42:28.984Z,24.4418,50.2974,10,4,mb,32,124,4.479,0.6,"99 km SSW of Umm BÄb, Qatar",8.68,1.903,0.119,19
2025-03-19T22:35:23.003Z,8.3046,126.2426,8.401,4.5,mb,41,102,1.392,0.65,"4 km WSW of Bigaan, Philippines",8.84,4.651,0.097,31
2025-03-19T21:57:25.543Z,-2.7264,126.6368,37.267,4.2,mb,21,72,3.55,0.5,"104 km SE of Sanana, Indonesia",7.5,5.962,0.153,12
2025-03-19T20:47:31.933Z,-17.472,-178.7019,548.194,4.8,mb,91,77,2.093,0.66,"220 km ENE of Levuka, Fiji",10.64,5.281,0.065,73
2025-03-19T20:39:35.754Z,51.8046,178.335,99.826,3.1,ml,13,269,0.181,0.17,"Rat Islands, Aleutian Islands, Alaska",6.99,4.752,0.128,8
2025-03-19T19:26:03.915Z,52.2206,-166.3496,10,2.6,ml,19,251,1.523,0.55,"184 km S of Unalaska, Alaska",3.81,2.01,0.097,14
2025-03-19T18:50:29.986Z,51.1371,-176.051,38.433,3,ml,15,253,0.759,0.6,"91 km SSE of Adak, Alaska",4.41,27.116,0.128,8
2025-03-19T18:50:25.130Z,18.4413,-68.7381,116,4.15,md,22,167,0.364,0.27,"6 km W of San Rafael del Yuma, Dominican Republic",1.18,0.84,0.11,14
2025-03-19T18:31:30.700Z,18.9525,-65.0085,10.12,3.41,md,13,284,0.5989,0.16,"68 km N of Charlotte Amalie, U.S. Virgin Islands",2.22,3.32,0.107177972,5
2025-03-19T18:29:08.330Z,-4.262,144.1185,143.789,4.1,mb,27,93,3.826,0.66,"22 km SSE of Angoram, Papua New Guinea",8.43,8.628,0.135,15
2025-03-19T18:18:44.680Z,18.64916667,-66.87533333,74.7,2.55,md,8,279,0.3222,0.13,"18 km N of Camuy, Puerto Rico",1.34,1,0.006506967,5
2025-03-19T16:52:35.070Z,18.3643,-71.218,10,4.3,mb,25,121,0.618,0.7,"0 km WNW of La Uvilla, Dominican Republic",3.78,1.875,0.169,10
2025-03-19T16:52:28.388Z,-60.7222,-25.7381,10,4.4,mb,14,114,8.66,1.02,South Sandwich Islands region,11.53,1.933,0.148,13
2025-03-19T16:49:37.725Z,58.2007,-156.0375,146,2.5,ml,,,,0.52,"65 km SSE of King Salmon, Alaska",,0.6,,
2025-03-19T15:57:21.377Z,46.4322,-75.0595,10,3.6,mb,31,103,0.412,0.44,"14 km W of RiviÃ¨re-Rouge, Canada",2.36,1.954,0.205,6
2025-03-19T14:48:48.332Z,-10.6425,164.761,10,4.9,mb,32,122,4.889,0.64,"113 km W of Lata, Solomon Islands",10.25,1.822,0.097,33
2025-03-19T14:26:06.170Z,19.357,-68.0681,53,3.65,md,17,210,0.8994,0.53,"92 km NNE of Punta Cana, Dominican Republic",3.23,9.23,0.1,13
2025-03-19T14:05:29.230Z,19.24783333,-68.12016667,20.48,3.39,md,11,203,0.7701,0.26,"79 km NNE of Punta Cana, Dominican Republic",1.32,22.94,0.185504861,7
2025-03-19T13:36:03.730Z,19.535,-68.0175,13,3.64,md,21,216,1.084,0.53,"113 km NNE of Punta Cana, Dominican Republic",3.03,3.52,0.15,10
2025-03-19T13:17:47.465Z,-8.6463,115.1629,150.168,4.6,mb,26,120,1.015,0.83,"5 km W of Denpasar, Indonesia",10.35,8.688,0.122,20
2025-03-19T13:16:24.287Z,41.6379,75.0059,10,4.2,mb,28,96,0.546,0.51,"41 km N of Baetovo, Kyrgyzstan",2.75,1.935,0.304,3
2025-03-19T12:55:24.050Z,53.1771,-166.9773,35,3.9,mb,57,196,0.608,0.85,"82 km SSW of Unalaska, Alaska",4.19,2,0.23,5
2025-03-19T12:50:17.426Z,-2.4161,139.7608,23.115,4.4,mb,28,79,0.946,0.71,"98 km WNW of Abepura, Indonesia",6.57,5.513,0.108,25
2025-03-19T12:31:09.089Z,-15.8546,-69.6066,239.823,4.1,mb,19,128,1.483,0.41,"12 km SE of Taquile, Peru",14.35,12.852,0.135,15
2025-03-19T11:46:21.789Z,-60.5361,-26.6432,10,5.1,mb,39,68,8.21,1.14,South Sandwich Islands region,11.68,1.889,0.093,37
2025-03-19T11:37:16.279Z,-16.2645,-172.7618,10,4.6,mb,17,78,2.526,1.61,"115 km ESE of Hihifo, Tonga",8.44,1.644,0.132,17
2025-03-19T10:39:23.116Z,-60.3867,-26.98,10,4.4,mb,13,221,17.438,0.64,South Sandwich Islands region,18.75,1.992,0.155,12
2025-03-19T10:35:45.389Z,-60.3773,-27.1835,10,4.7,mb,24,97,17.356,0.65,South Sandwich Islands region,14.81,1.941,0.113,24
2025-03-19T10:34:52.987Z,-60.4802,-26.6798,10,4.3,mb,19,112,17.519,1.16,South Sandwich Islands region,15.73,1.94,0.126,18
2025-03-19T10:04:13.083Z,-11.0083,122.1083,10,4.3,mb,13,116,2.361,1.01,"107 km WSW of Baa, Indonesia",5.09,1.931,0.202,7
2025-03-19T09:28:06.570Z,40.41416667,-125.1226667,10,2.65,md,56,270,0.6092,0.23,"72 km WNW of Petrolia, CA",2.57,31.61,0.174,29
2025-03-19T09:21:12.076Z,58.0795,-154.5654,87.5,2.9,ml,,,,0.55,"57 km N of Karluk, Alaska",,0.2,,
2025-03-19T09:20:12.862Z,51.2778,-176.0958,35,4.8,mb,138,183,0.616,0.59,"76 km SSE of Adak, Alaska",4.35,1.926,0.05,121
2025-03-19T08:35:06.760Z,53.1257,-167.0061,35,3.4,ml,18,205,0.614,0.66,"88 km SSW of Unalaska, Alaska",2.9,2.01,0.094,21
2025-03-19T08:22:33.275Z,-7.2424,129.6983,104.836,4.5,mb,61,27,2.71,1.23,"Kepulauan Babar, Indonesia",6.41,7.533,0.091,35
